,string,tokens,label
42,give as little vibration,"['give', 'as', 'little', 'vibration']",LVC
43,give a sound performance,"['give', 'a', 'sound', 'performance']",LVC
44,have a positive effect,"['have', 'a', 'positive', 'effect']",LVC
45,have dermatitis and recommended treatment,"['have', 'dermatitis', 'and', 'recommended', 'treatment']",LVC
46,do the cooking,"['do', 'the', 'cooking']",LVC
47,make sense,"['make', 'sense']",LVC
48,do not brook much choice,"['do', 'not', 'brook', 'much', 'choice']",LVC
49,take precedence,"['take', 'precedence']",LVC
50,do her work,"['do', 'her', 'work']",LVC
51,make the decision,"['make', 'the', 'decision']",LVC
52,make a lively film,"['make', 'a', 'lively', 'film']",LVC
53,make the change,"['make', 'the', 'change']",LVC
54,do its work,"['do', 'its', 'work']",LVC
55,do some market research,"['do', 'some', 'market', 'research']",LVC
56,make a trade,"['make', 'a', 'trade']",LVC
57,take charge,"['take', 'charge']",LVC
58,make a big difference,"['make', 'a', 'big', 'difference']",LVC
59,"get good , affordable advice","['get', 'good', ',', 'affordable', 'advice']",LVC
60,take early retirement,"['take', 'early', 'retirement']",LVC
61,do some of the work,"['do', 'some', 'of', 'the', 'work']",LVC
62,take a higher profile,"['take', 'a', 'higher', 'profile']",LVC
63,give ground,"['give', 'ground']",LVC
64,give one example,"['give', 'one', 'example']",LVC
65,take a grave turn,"['take', 'a', 'grave', 'turn']",LVC
66,take legal action,"['take', 'legal', 'action']",LVC
67,take a bearing,"['take', 'a', 'bearing']",LVC
68,do some revision,"['do', 'some', 'revision']",LVC
69,make his international debut,"['make', 'his', 'international', 'debut']",LVC
70,do a woman work,"['do', 'a', 'woman', 'work']",LVC
71,get a raw deal,"['get', 'a', 'raw', 'deal']",LVC
72,get the limited edition,"['get', 'the', 'limited', 'edition']",LVC
73,have bad breath,"['have', 'bad', 'breath']",LVC
74,make her choice,"['make', 'her', 'choice']",LVC
75,make a Â£25 donation,"['make', 'a', 'Â£25', 'donation']",LVC
76,make most contribution,"['make', 'most', 'contribution']",LVC
77,do the necessary work,"['do', 'the', 'necessary', 'work']",LVC
78,do more work,"['do', 'more', 'work']",LVC
79,do some work,"['do', 'some', 'work']",LVC
80,make the attempt,"['make', 'the', 'attempt']",LVC
81,do this with reference,"['do', 'this', 'with', 'reference']",LVC
82,give equal social provision,"['give', 'equal', 'social', 'provision']",LVC
83,make the minimum assumption,"['make', 'the', 'minimum', 'assumption']",LVC
84,make much difference,"['make', 'much', 'difference']",LVC
85,do DIY work,"['do', 'DIY', 'work']",LVC
86,make the necessary accommodation,"['make', 'the', 'necessary', 'accommodation']",LVC
87,take a slight step,"['take', 'a', 'slight', 'step']",LVC
88,do the relationship,"['do', 'the', 'relationship']",LVC
89,make a formulation,"['make', 'a', 'formulation']",LVC
90,do the structure experience,"['do', 'the', 'structure', 'experience']",LVC
91,make a partial recovery,"['make', 'a', 'partial', 'recovery']",LVC
92,do a shift,"['do', 'a', 'shift']",LVC
93,take care,"['take', 'care']",LVC
94,do I look,"['do', 'I', 'look']",LVC
95,have any access,"['have', 'any', 'access']",LVC
96,make a break,"['make', 'a', 'break']",LVC
97,make no comment,"['make', 'no', 'comment']",LVC
98,make work,"['make', 'work']",LVC
99,take care,"['take', 'care']",LVC
100,get my sympathy,"['get', 'my', 'sympathy']",LVC
101,do miserable work,"['do', 'miserable', 'work']",LVC
102,make a late shuffle,"['make', 'a', 'late', 'shuffle']",LVC
103,do more solo work,"['do', 'more', 'solo', 'work']",LVC
104,get no chance,"['get', 'no', 'chance']",LVC
105,get a pancake surprise,"['get', 'a', 'pancake', 'surprise']",LVC
106,have a budget,"['have', 'a', 'budget']",LVC
107,take a dive,"['take', 'a', 'dive']",LVC
108,make his first appearance,"['make', 'his', 'first', 'appearance']",LVC
109,make suspension,"['make', 'suspension']",LVC
110,do more harm,"['do', 'more', 'harm']",LVC
111,do community work,"['do', 'community', 'work']",LVC
112,have a miraculous escape,"['have', 'a', 'miraculous', 'escape']",LVC
113,make an up-front payment,"['make', 'an', 'up-front', 'payment']",LVC
114,do an awkward shuffle,"['do', 'an', 'awkward', 'shuffle']",LVC
115,do the high jump,"['do', 'the', 'high', 'jump']",LVC
116,do a bizarre dance,"['do', 'a', 'bizarre', 'dance']",LVC
117,take the chance,"['take', 'the', 'chance']",LVC
118,make no difference,"['make', 'no', 'difference']",LVC
119,take care,"['take', 'care']",LVC
120,take exercise,"['take', 'exercise']",LVC
121,make the ultimate sacrifice,"['make', 'the', 'ultimate', 'sacrifice']",LVC
122,have any safety equipment,"['have', 'any', 'safety', 'equipment']",LVC
123,make economic sense,"['make', 'economic', 'sense']",LVC
124,make the ascent,"['make', 'the', 'ascent']",LVC
125,do our first confined water dive,"['do', 'our', 'first', 'confined', 'water', 'dive']",LVC
126,give a reversed viewfinder image,"['give', 'a', 'reversed', 'viewfinder', 'image']",LVC
127,do a deep dive,"['do', 'a', 'deep', 'dive']",LVC
128,do his full share,"['do', 'his', 'full', 'share']",LVC
129,make this benefit,"['make', 'this', 'benefit']",LVC
130,make a rights issue,"['make', 'a', 'rights', 'issue']",LVC
131,get the valuable option,"['get', 'the', 'valuable', 'option']",LVC
132,get your payment,"['get', 'your', 'payment']",LVC
133,give a boost,"['give', 'a', 'boost']",LVC
134,make an amusing speech,"['make', 'an', 'amusing', 'speech']",LVC
135,give a speech,"['give', 'a', 'speech']",LVC
136,make your life,"['make', 'your', 'life']",LVC
137,take possession,"['take', 'possession']",LVC
138,make some reassuring remark,"['make', 'some', 'reassuring', 'remark']",LVC
139,do the interview,"['do', 'the', 'interview']",LVC
140,give a performance,"['give', 'a', 'performance']",LVC
141,make one chair,"['make', 'one', 'chair']",LVC
142,make the following experiment,"['make', 'the', 'following', 'experiment']",LVC
143,make my flight,"['make', 'my', 'flight']",LVC
144,have the main entrance,"['have', 'the', 'main', 'entrance']",LVC
145,do a news release,"['do', 'a', 'news', 'release']",LVC
146,make satisfactory progress,"['make', 'satisfactory', 'progress']",LVC
147,give the maximum cash flow,"['give', 'the', 'maximum', 'cash', 'flow']",LVC
148,give rise,"['give', 'rise']",LVC
149,take appropriate action,"['take', 'appropriate', 'action']",LVC
150,make a franked payment,"['make', 'a', 'franked', 'payment']",LVC
151,give advice,"['give', 'advice']",LVC
152,give the nickname,"['give', 'the', 'nickname']",LVC
153,do excellent work,"['do', 'excellent', 'work']",LVC
154,get a good run,"['get', 'a', 'good', 'run']",LVC
155,get a wee rise,"['get', 'a', 'wee', 'rise']",LVC
156,do escape,"['do', 'escape']",LVC
157,make a change,"['make', 'a', 'change']",LVC
158,get their advice,"['get', 'their', 'advice']",LVC
159,give a last exhibition,"['give', 'a', 'last', 'exhibition']",LVC
160,do their work,"['do', 'their', 'work']",LVC
161,have a talk,"['have', 'a', 'talk']",LVC
162,do all the research,"['do', 'all', 'the', 'research']",LVC
163,do a very brief survey,"['do', 'a', 'very', 'brief', 'survey']",LVC
164,make a superb start,"['make', 'a', 'superb', 'start']",LVC
165,make a plan,"['make', 'a', 'plan']",LVC
166,do any service,"['do', 'any', 'service']",LVC
167,do the briefing,"['do', 'the', 'briefing']",LVC
168,do the work,"['do', 'the', 'work']",LVC
169,make her seasonal debut,"['make', 'her', 'seasonal', 'debut']",LVC
170,make a successful return,"['make', 'a', 'successful', 'return']",LVC
171,take the blame,"['take', 'the', 'blame']",LVC
172,get a reply,"['get', 'a', 'reply']",LVC
173,make a comeback,"['make', 'a', 'comeback']",LVC
174,give the encouragement,"['give', 'the', 'encouragement']",LVC
175,do particular participants play,"['do', 'particular', 'participants', 'play']",LVC
176,make a success,"['make', 'a', 'success']",LVC
177,make the best use,"['make', 'the', 'best', 'use']",LVC
178,give a brief review,"['give', 'a', 'brief', 'review']",LVC
179,make provision,"['make', 'provision']",LVC
180,take hold,"['take', 'hold']",LVC
181,do work,"['do', 'work']",LVC
182,make their decision,"['make', 'their', 'decision']",LVC
183,make concrete progress,"['make', 'concrete', 'progress']",LVC
184,make such a transfer,"['make', 'such', 'a', 'transfer']",LVC
185,do the work,"['do', 'the', 'work']",LVC
186,take any credit,"['take', 'any', 'credit']",LVC
187,do a neighbourhood beat,"['do', 'a', 'neighbourhood', 'beat']",LVC
188,have a constitution,"['have', 'a', 'constitution']",LVC
189,do a great deal,"['do', 'a', 'great', 'deal']",LVC
190,have a reputation,"['have', 'a', 'reputation']",LVC
191,take a firm grip,"['take', 'a', 'firm', 'grip']",LVC
192,make no protest,"['make', 'no', 'protest']",LVC
193,do some thinking,"['do', 'some', 'thinking']",LVC
194,do battle,"['do', 'battle']",LVC
195,make of me the same enquiry,"['make', 'of', 'me', 'the', 'same', 'enquiry']",LVC
196,do their work,"['do', 'their', 'work']",LVC
197,make any sense,"['make', 'any', 'sense']",LVC
198,make the bidding,"['make', 'the', 'bidding']",LVC
199,make reference,"['make', 'reference']",LVC
200,give free advice,"['give', 'free', 'advice']",LVC
201,give evidence,"['give', 'evidence']",LVC
202,make contact,"['make', 'contact']",LVC
203,have a long life,"['have', 'a', 'long', 'life']",LVC
204,have no bearing,"['have', 'no', 'bearing']",LVC
205,do an interview,"['do', 'an', 'interview']",LVC
206,give an instruction,"['give', 'an', 'instruction']",LVC
207,get your coat,"['get', 'your', 'coat']",LVC
208,take into account the variation,"['take', 'into', 'account', 'the', 'variation']",LVC
209,make the company smile,"['make', 'the', 'company', 'smile']",LVC
210,take a deep breath,"['take', 'a', 'deep', 'breath']",LVC
211,do that political work,"['do', 'that', 'political', 'work']",LVC
212,give no more active support,"['give', 'no', 'more', 'active', 'support']",LVC
213,do a â€˜voodoo dance,"['do', 'a', 'â€˜voodoo', 'dance']",LVC
214,do different work,"['do', 'different', 'work']",LVC
215,give its organization,"['give', 'its', 'organization']",LVC
216,have no effect,"['have', 'no', 'effect']",LVC
217,make a claim,"['make', 'a', 'claim']",LVC
218,get no sense,"['get', 'no', 'sense']",LVC
219,do the work,"['do', 'the', 'work']",LVC
220,do all the work,"['do', 'all', 'the', 'work']",LVC
221,give his party,"['give', 'his', 'party']",LVC
222,do a deal,"['do', 'a', 'deal']",LVC
223,do a clothes switch,"['do', 'a', 'clothes', 'switch']",LVC
224,do one sweep,"['do', 'one', 'sweep']",LVC
225,give notice,"['give', 'notice']",LVC
226,make a sound,"['make', 'a', 'sound']",LVC
227,make a successful I test,"['make', 'a', 'successful', 'I', 'test']",LVC
228,give an air,"['give', 'an', 'air']",LVC
229,give information,"['give', 'information']",LVC
230,give the information,"['give', 'the', 'information']",LVC
231,make a major purchase,"['make', 'a', 'major', 'purchase']",LVC
232,do some market research,"['do', 'some', 'market', 'research']",LVC
233,do shop work,"['do', 'shop', 'work']",LVC
234,do a survey,"['do', 'a', 'survey']",LVC
235,do her shopping,"['do', 'her', 'shopping']",LVC
236,do stupendous work,"['do', 'stupendous', 'work']",LVC
237,make a refreshing addition,"['make', 'a', 'refreshing', 'addition']",LVC
238,do a tour,"['do', 'a', 'tour']",LVC
239,take medication,"['take', 'medication']",LVC
240,take medication,"['take', 'medication']",LVC
241,have a heart attack,"['have', 'a', 'heart', 'attack']",LVC
242,do untold damage,"['do', 'untold', 'damage']",LVC
243,get a generous mention,"['get', 'a', 'generous', 'mention']",LVC
244,do hard physical work,"['do', 'hard', 'physical', 'work']",LVC
245,get transport,"['get', 'transport']",LVC
246,give a full refund,"['give', 'a', 'full', 'refund']",LVC
247,make rapid progress,"['make', 'rapid', 'progress']",LVC
248,do the trick,"['do', 'the', 'trick']",LVC
249,make a charge,"['make', 'a', 'charge']",LVC
250,make no mention,"['make', 'no', 'mention']",LVC
251,make some appropriately sophisticated comment,"['make', 'some', 'appropriately', 'sophisticated', 'comment']",LVC
252,do an assembly,"['do', 'an', 'assembly']",LVC
253,make toast,"['make', 'toast']",LVC
254,make a move,"['make', 'a', 'move']",LVC
255,make contact,"['make', 'contact']",LVC
256,get all the food,"['get', 'all', 'the', 'food']",LVC
257,take up residence,"['take', 'up', 'residence']",LVC
258,have now some appreciation,"['have', 'now', 'some', 'appreciation']",LVC
259,"make a lasting , happy marriage","['make', 'a', 'lasting', ',', 'happy', 'marriage']",LVC
260,make a useful distinction,"['make', 'a', 'useful', 'distinction']",LVC
261,give rise,"['give', 'rise']",LVC
262,make a contract,"['make', 'a', 'contract']",LVC
263,do work,"['do', 'work']",LVC
264,do the turn,"['do', 'the', 'turn']",LVC
265,do sterling service,"['do', 'sterling', 'service']",LVC
266,do as much maintenance,"['do', 'as', 'much', 'maintenance']",LVC
267,make a fatal error,"['make', 'a', 'fatal', 'error']",LVC
268,make much difference,"['make', 'much', 'difference']",LVC
269,take up the challenge,"['take', 'up', 'the', 'challenge']",LVC
270,take a drink,"['take', 'a', 'drink']",LVC
271,have so much influence,"['have', 'so', 'much', 'influence']",LVC
272,do strike,"['do', 'strike']",LVC
273,"make the US$1,600 million oil sale","['make', 'the', 'US$1,600', 'million', 'oil', 'sale']",LVC
274,have any function,"['have', 'any', 'function']",LVC
275,do the register,"['do', 'the', 'register']",LVC
276,make up but a small proportion,"['make', 'up', 'but', 'a', 'small', 'proportion']",LVC
277,get one share,"['get', 'one', 'share']",LVC
278,do base,"['do', 'base']",LVC
279,make greater use,"['make', 'greater', 'use']",LVC
280,give your permission,"['give', 'your', 'permission']",LVC
281,give an artificial sense,"['give', 'an', 'artificial', 'sense']",LVC
282,take the credit,"['take', 'the', 'credit']",LVC
283,make a decision,"['make', 'a', 'decision']",LVC
284,make a bid,"['make', 'a', 'bid']",LVC
285,take a driving test,"['take', 'a', 'driving', 'test']",LVC
286,give your permanent Northern Ireland address,"['give', 'your', 'permanent', 'Northern', 'Ireland', 'address']",LVC
287,make good copy,"['make', 'good', 'copy']",LVC
288,make any particular impression,"['make', 'any', 'particular', 'impression']",LVC
289,do his serious acting,"['do', 'his', 'serious', 'acting']",LVC
290,make use,"['make', 'use']",LVC
291,make less use,"['make', 'less', 'use']",LVC
292,get copy,"['get', 'copy']",LVC
293,do a demonstration,"['do', 'a', 'demonstration']",LVC
294,do a 50% water change,"['do', 'a', '50%', 'water', 'change']",LVC
295,make more progress,"['make', 'more', 'progress']",LVC
296,make a mixture,"['make', 'a', 'mixture']",LVC
297,give the unqualified support,"['give', 'the', 'unqualified', 'support']",LVC
298,make this choice,"['make', 'this', 'choice']",LVC
299,make an important contribution,"['make', 'an', 'important', 'contribution']",LVC
300,do the work,"['do', 'the', 'work']",LVC
301,get good education,"['get', 'good', 'education']",LVC
302,give effect,"['give', 'effect']",LVC
303,give any recognition,"['give', 'any', 'recognition']",LVC
304,have access,"['have', 'access']",LVC
305,make provision,"['make', 'provision']",LVC
306,get little response,"['get', 'little', 'response']",LVC
307,make a grab,"['make', 'a', 'grab']",LVC
308,do regulation work,"['do', 'regulation', 'work']",LVC
309,take a 4-1 lead,"['take', 'a', '4-1', 'lead']",LVC
310,give birth,"['give', 'birth']",LVC
311,make a different choice,"['make', 'a', 'different', 'choice']",LVC
312,make greater use of linguistic information,"['make', 'greater', 'use', 'of', 'linguistic', 'information']",LVC
313,make little or no attempt,"['make', 'little', 'or', 'no', 'attempt']",LVC
314,make a significant contribution,"['make', 'a', 'significant', 'contribution']",LVC
315,have a direct impact,"['have', 'a', 'direct', 'impact']",LVC
316,have some success,"['have', 'some', 'success']",LVC
317,make sense,"['make', 'sense']",LVC
318,do an average,"['do', 'an', 'average']",LVC
319,get insurance,"['get', 'insurance']",LVC
320,make a go,"['make', 'a', 'go']",LVC
321,do a turn,"['do', 'a', 'turn']",LVC
322,make moral sense,"['make', 'moral', 'sense']",LVC
323,give his life,"['give', 'his', 'life']",LVC
324,do the individual need,"['do', 'the', 'individual', 'need']",LVC
325,make a move,"['make', 'a', 'move']",LVC
326,do some serious detective work,"['do', 'some', 'serious', 'detective', 'work']",LVC
327,take the picture,"['take', 'the', 'picture']",LVC
328,make a dash,"['make', 'a', 'dash']",LVC
329,make a mess,"['make', 'a', 'mess']",LVC
330,make contact,"['make', 'contact']",LVC
331,make a start,"['make', 'a', 'start']",LVC
332,make his first contact,"['make', 'his', 'first', 'contact']",LVC
333,take their full share,"['take', 'their', 'full', 'share']",LVC
334,get your report,"['get', 'your', 'report']",LVC
335,make a start,"['make', 'a', 'start']",LVC
336,make no reply,"['make', 'no', 'reply']",LVC
337,give practical expression,"['give', 'practical', 'expression']",LVC
338,take precedence,"['take', 'precedence']",LVC
339,have an immediate effect,"['have', 'an', 'immediate', 'effect']",LVC
340,take his National mount,"['take', 'his', 'National', 'mount']",LVC
341,give a first-preference vote,"['give', 'a', 'first-preference', 'vote']",LVC
342,take the required action,"['take', 'the', 'required', 'action']",LVC
343,make little use,"['make', 'little', 'use']",LVC
344,have any experience,"['have', 'any', 'experience']",LVC
345,give rise,"['give', 'rise']",LVC
346,do battle,"['do', 'battle']",LVC
347,do thy Drought supply,"['do', 'thy', 'Drought', 'supply']",LVC
348,give comfort,"['give', 'comfort']",LVC
349,take a positive view,"['take', 'a', 'positive', 'view']",LVC
350,do plot,"['do', 'plot']",LVC
351,have a bad attitude to work,"['have', 'a', 'bad', 'attitude', 'to', 'work']",LVC
352,get their act,"['get', 'their', 'act']",LVC
353,take a deep breath,"['take', 'a', 'deep', 'breath']",LVC
354,give an injection,"['give', 'an', 'injection']",LVC
355,give an expansive smile,"['give', 'an', 'expansive', 'smile']",LVC
356,get his life,"['get', 'his', 'life']",LVC
357,do an interview,"['do', 'an', 'interview']",LVC
358,do the work,"['do', 'the', 'work']",LVC
359,have a good lock,"['have', 'a', 'good', 'lock']",LVC
360,have vivid charm,"['have', 'vivid', 'charm']",LVC
361,do a bus shuttle,"['do', 'a', 'bus', 'shuttle']",LVC
362,do work,"['do', 'work']",LVC
363,get security,"['get', 'security']",LVC
364,get my share,"['get', 'my', 'share']",LVC
365,get a delivery,"['get', 'a', 'delivery']",LVC
366,get secure trade,"['get', 'secure', 'trade']",LVC
367,take effect,"['take', 'effect']",LVC
368,do a back-up report,"['do', 'a', 'back-up', 'report']",LVC
369,do the damage,"['do', 'the', 'damage']",LVC
370,do the walk,"['do', 'the', 'walk']",LVC
371,make a link,"['make', 'a', 'link']",LVC
372,give any serious consideration,"['give', 'any', 'serious', 'consideration']",LVC
373,make this connection,"['make', 'this', 'connection']",LVC
374,take interest,"['take', 'interest']",LVC
375,make a claim,"['make', 'a', 'claim']",LVC
376,have the benefit,"['have', 'the', 'benefit']",LVC
377,make better progress,"['make', 'better', 'progress']",LVC
378,make his individual mark,"['make', 'his', 'individual', 'mark']",LVC
379,make use,"['make', 'use']",LVC
380,make a single joint submission,"['make', 'a', 'single', 'joint', 'submission']",LVC
381,make a cage,"['make', 'a', 'cage']",LVC
382,get a meeting,"['get', 'a', 'meeting']",LVC
383,do more charity work,"['do', 'more', 'charity', 'work']",LVC
384,make an unprecedented contractual demand,"['make', 'an', 'unprecedented', 'contractual', 'demand']",LVC
385,make their escape,"['make', 'their', 'escape']",LVC
386,do a good deed,"['do', 'a', 'good', 'deed']",LVC
387,make the sacrifice,"['make', 'the', 'sacrifice']",LVC
388,make us pause,"['make', 'us', 'pause']",LVC
389,make real contact,"['make', 'real', 'contact']",LVC
390,make a water-mediated contact,"['make', 'a', 'water-mediated', 'contact']",LVC
391,make sense,"['make', 'sense']",LVC
392,do any market research,"['do', 'any', 'market', 'research']",LVC
393,make a mental note,"['make', 'a', 'mental', 'note']",LVC
394,do help,"['do', 'help']",LVC
395,do temporary work,"['do', 'temporary', 'work']",LVC
396,give any thought,"['give', 'any', 'thought']",LVC
397,do for 14s the same work,"['do', 'for', '14s', 'the', 'same', 'work']",LVC
398,do a table,"['do', 'a', 'table']",LVC
399,give up paid work,"['give', 'up', 'paid', 'work']",LVC
400,do similar work,"['do', 'similar', 'work']",LVC
401,take early retirement,"['take', 'early', 'retirement']",LVC
402,make a positive contribution,"['make', 'a', 'positive', 'contribution']",LVC
403,make a substantial contribution,"['make', 'a', 'substantial', 'contribution']",LVC
404,have little effect,"['have', 'little', 'effect']",LVC
405,make some progress,"['make', 'some', 'progress']",LVC
406,do astronomical research,"['do', 'astronomical', 'research']",LVC
407,do wish,"['do', 'wish']",LVC
408,do the effect,"['do', 'the', 'effect']",LVC
409,get only a wholly uninformative conception,"['get', 'only', 'a', 'wholly', 'uninformative', 'conception']",LVC
410,give much attention,"['give', 'much', 'attention']",LVC
411,give sense,"['give', 'sense']",LVC
412,take a decision,"['take', 'a', 'decision']",LVC
413,take this view,"['take', 'this', 'view']",LVC
414,make a certain common assumption,"['make', 'a', 'certain', 'common', 'assumption']",LVC
415,make the windscreen wipers start,"['make', 'the', 'windscreen', 'wipers', 'start']",LVC
416,give birth,"['give', 'birth']",LVC
417,make no reference,"['make', 'no', 'reference']",LVC
418,do a terrible act,"['do', 'a', 'terrible', 'act']",LVC
419,make his first competitive appearance,"['make', 'his', 'first', 'competitive', 'appearance']",LVC
420,get air,"['get', 'air']",LVC
421,take a risk,"['take', 'a', 'risk']",LVC
422,take charge,"['take', 'charge']",LVC
423,take the trouble,"['take', 'the', 'trouble']",LVC
424,make the ad,"['make', 'the', 'ad']",LVC
425,make love,"['make', 'love']",LVC
426,make the nerve-racking approach,"['make', 'the', 'nerve-racking', 'approach']",LVC
427,make a court appearance,"['make', 'a', 'court', 'appearance']",LVC
428,make the move,"['make', 'the', 'move']",LVC
429,make the illegal stop,"['make', 'the', 'illegal', 'stop']",LVC
430,do a deal,"['do', 'a', 'deal']",LVC
431,make a grand gesture,"['make', 'a', 'grand', 'gesture']",LVC
432,give no indication,"['give', 'no', 'indication']",LVC
433,make a planned visit,"['make', 'a', 'planned', 'visit']",LVC
434,do their cause,"['do', 'their', 'cause']",LVC
435,take an interest,"['take', 'an', 'interest']",LVC
436,make a smooth landing,"['make', 'a', 'smooth', 'landing']",LVC
437,make use,"['make', 'use']",LVC
438,do her knowledge,"['do', 'her', 'knowledge']",LVC
439,do its work,"['do', 'its', 'work']",LVC
440,give the vote,"['give', 'the', 'vote']",LVC
441,do n't the leather break,"['do', ""n't"", 'the', 'leather', 'break']",LVC
442,do some research,"['do', 'some', 'research']",LVC
443,take charge,"['take', 'charge']",LVC
444,do contract work,"['do', 'contract', 'work']",LVC
445,get the best financial return,"['get', 'the', 'best', 'financial', 'return']",LVC
446,have only a short working life,"['have', 'only', 'a', 'short', 'working', 'life']",LVC
447,make contact,"['make', 'contact']",LVC
448,get a stand,"['get', 'a', 'stand']",LVC
449,do its work,"['do', 'its', 'work']",LVC
450,do a great deal,"['do', 'a', 'great', 'deal']",LVC
451,do all the hard work,"['do', 'all', 'the', 'hard', 'work']",LVC
452,give an indication,"['give', 'an', 'indication']",LVC
453,take a close look,"['take', 'a', 'close', 'look']",LVC
454,give such information,"['give', 'such', 'information']",LVC
455,make an exception,"['make', 'an', 'exception']",LVC
456,make a splash,"['make', 'a', 'splash']",LVC
457,make a note,"['make', 'a', 'note']",LVC
458,do not often hunt,"['do', 'not', 'often', 'hunt']",LVC
459,do much harm,"['do', 'much', 'harm']",LVC
460,get that corduroy suit,"['get', 'that', 'corduroy', 'suit']",LVC
461,do the director,"['do', 'the', 'director']",LVC
462,get the fire station,"['get', 'the', 'fire', 'station']",LVC
463,get the fire station,"['get', 'the', 'fire', 'station']",LVC
464,have the sense,"['have', 'the', 'sense']",LVC
465,have real effect,"['have', 'real', 'effect']",LVC
466,make a fairly even shape,"['make', 'a', 'fairly', 'even', 'shape']",LVC
467,get the best deal,"['get', 'the', 'best', 'deal']",LVC
468,give the best balance,"['give', 'the', 'best', 'balance']",LVC
469,make your final decision,"['make', 'your', 'final', 'decision']",LVC
470,give a softer look,"['give', 'a', 'softer', 'look']",LVC
471,make the proposition,"['make', 'the', 'proposition']",LVC
472,do personal injury work,"['do', 'personal', 'injury', 'work']",LVC
473,give helpful corroborative evidence,"['give', 'helpful', 'corroborative', 'evidence']",LVC
474,do the work,"['do', 'the', 'work']",LVC
475,take no notice,"['take', 'no', 'notice']",LVC
476,make the final selection,"['make', 'the', 'final', 'selection']",LVC
477,do any harm to try,"['do', 'any', 'harm', 'to', 'try']",LVC
478,do a late shift,"['do', 'a', 'late', 'shift']",LVC
479,get a white coat,"['get', 'a', 'white', 'coat']",LVC
480,make the decision,"['make', 'the', 'decision']",LVC
481,get any sound,"['get', 'any', 'sound']",LVC
482,do extra conceptual content,"['do', 'extra', 'conceptual', 'content']",LVC
483,do work,"['do', 'work']",LVC
484,get help,"['get', 'help']",LVC
485,make a meaningful choice,"['make', 'a', 'meaningful', 'choice']",LVC
486,do their best work,"['do', 'their', 'best', 'work']",LVC
487,have a choice,"['have', 'a', 'choice']",LVC
488,give advice,"['give', 'advice']",LVC
489,give that choice,"['give', 'that', 'choice']",LVC
490,make delivery,"['make', 'delivery']",LVC
491,take another deep breath,"['take', 'another', 'deep', 'breath']",LVC
492,take a slow sip,"['take', 'a', 'slow', 'sip']",LVC
493,make your escape,"['make', 'your', 'escape']",LVC
494,make a psychological report,"['make', 'a', 'psychological', 'report']",LVC
495,make a direct judgement,"['make', 'a', 'direct', 'judgement']",LVC
496,give an elaborate account,"['give', 'an', 'elaborate', 'account']",LVC
497,do any deal,"['do', 'any', 'deal']",LVC
498,get the benefit,"['get', 'the', 'benefit']",LVC
499,give his evidence,"['give', 'his', 'evidence']",LVC
500,make a money payment,"['make', 'a', 'money', 'payment']",LVC
501,make the promise,"['make', 'the', 'promise']",LVC
